stem,n_participants,pooled_istc,pooled_crowd_gs_cv,n_beats,beat_this,madmom
6Rqy3BpSr_U,119,34.96666666666667,0.01725498657923471,53,1.0,1.0
6c8RiGGHEYY,117,47.13333333333333,0.01438307632543153,59,0.888888888888889,1.0
6gPAjNCyHB8,116,48.733333333333334,0.01370067593439533,69,0.6363636363636364,0.9142857142857144
6tniJKkjVv0,118,36.166666666666664,0.007170986290476063,77,0.6666666666666666,0.8947368421052632
7976yzHXBJc,118,45.5,0.024652147678194427,83,0.975609756097561,1.0
7VuqbMbgLHk,117,44.06666666666667,0.007062180143638792,57,0.6511627906976745,0.6511627906976745
8W1ij30ACGg,118,61.3,0.006549021898558402,47,1.0,1.0
94LD5nwivVs,118,56.1,0.00914851979484889,40,1.0,1.0
98s7mqb_II0,116,51.333333333333336,0.018676190757567195,66,0.9523809523809524,1.0
9f8xPaRWAbg,119,42.36666666666667,0.011803522070626496,60,0.6956521739130436,1.0
9hODzWIY7Hc,116,45.766666666666666,0.01191620799135132,59,1.0,1.0
9tP_cphjz3E,120,52.63333333333333,0.0032591824192422514,95,0.6666666666666666,0.6666666666666666
Ai9l_8xy_pc,115,60.63333333333333,0.016655256606589692,64,0.875,0.84375
AkYhR1lc8QM,119,53.833333333333336,0.009240294990007418,58,1.0,1.0
BXbKa0EqW8E,118,55.6,0.0025638767129055446,74,0.6785714285714285,0.9866666666666666
BZs2ixvEyKM,117,37.233333333333334,0.02164480874644644,65,0.7246376811594203,1.0
C0vS_SbaaFI,117,54.86666666666667,0.011919436507187011,57,0.7111111111111111,1.0
CDetbKTJ1dY,117,59.766666666666666,0.009771650449110218,52,1.0,1.0
CpJMjyTMg1Q,118,55.03333333333333,0.0024921102171218544,58,1.0,1.0
Cwkej79U3ek,115,58.233333333333334,0.01607759820708474,48,1.0,1.0
CzYrMns8QAg,118,53.86666666666667,0.015205306232347195,65,0.653061224489796,1.0
D3sueyrnhNw,118,56.666666666666664,0.011074627377271508,60,1.0,1.0
DGZLtb-MWp4,116,47.0,0.009721348894448256,58,0.9824561403508772,0.9824561403508772
DO5TjDsrRpM,117,66.66666666666667,0.005479055617957452,49,1.0,1.0
DgT4CPv_CCE,118,70.7,0.005420434334150261,60,1.0,1.0
E2fPGGZgp-M,118,53.13333333333333,0.007576549951410882,48,1.0,1.0
E3bbJ3GMi48,119,33.86666666666667,0.01748368326919387,50,0.888888888888889,1.0
E6uudzXoTJo,118,46.96666666666667,0.002739477030159178,62,1.0,1.0
Fwc3x6UOTUw,117,47.833333333333336,0.008137558667822786,105,0.981132075471698,0.6749999999999999
G4WTl1KqSVw,117,55.53333333333333,0.006242738197698798,30,0.6666666666666666,0.6666666666666666
G7lUD3Bz-wY,117,57.53333333333333,0.007790815606817742,44,1.0,1.0
GC5E8ie2pdM,118,69.73333333333333,0.010979717418273634,52,1.0,1.0
Gp_CtNDepiI,117,50.1,0.011404796983779707,45,0.0,0.676470588235294
HyIEZPubbEk,118,52.56666666666667,0.012287808046209214,45,0.0,0.6567164179104478
HzKQfrNseoI,118,44.8,0.027542350087945484,58,0.6136363636363636,0.375
K7Ayxc_RaU4,117,54.5,0.009509912895404277,40,1.0,0.6666666666666666
K7LnjbxJB9E,117,53.36666666666667,0.010169925266745691,34,0.9714285714285714,0.9714285714285714
KCHoaz1DG_4,116,67.33333333333333,0.00922069508478279,61,0.9836065573770492,1.0
KOC46hclHDA,118,68.76666666666667,0.0036977027072679545,63,1.0,1.0
L4BVG7rL88I,117,35.0,0.028118869760814052,46,0.9130434782608696,0.9565217391304348
LmQMjWVzJMs,117,64.1,0.014857296637419278,52,1.0,1.0
